업체명,연락처,업종,업태,행정동,도로명 주소,위도,경도,데이터 기준일자
신동해제탕원,054-282-1947,음숙,제탕원,해도동,경상북도 포항시 남구 중앙로 146번길 30-7,36.026292,129.3713301,2019-08-07
대원농수산,,도소매,수산물,해도동,"경상북도 포항시 남구 중앙로 67번길 7 33호(해도동,해도동)",36.018798,129.368561,2019-08-07
대해청과,,소매,청과,해도동,경상북도 포항시 남구 중앙로 67번길 6-6(해도동),36.0195314,129.3688116,2019-08-07
대해소머리곰탕,,음숙,한식전문,해도동,경상북도 포항시 남구 중앙로 67번길 6-5(해도동),36.0193598,129.3685393,2019-08-07
뷰티크레딧 꽃을든남자,,도소매,화장품,해도동,경상북도 포항시 남구 중앙로 67번길 8(해도동),36.0191844,129.3685888,2019-08-07
애니카랜드 해도점,054-282-2266,서비스/소매,서비스/소매,해도동,경상북도 포항시 남구 중앙로 95-1(해도동),36.0216578,129.3685093,2019-08-07
서울지물,,소매,벽지,해도동,경상북도 포항시 남구 중앙로 67번길 3-2,36.0190811,129.3691226,2019-08-07
대해닭집,054-282-9744,도소매,생닭,해도동,"경상북도 포항시 남구 중앙로 67번길 7, 13, 14호 (해도동, 해도동)",36.018798,129.368561,2019-08-07
동해수산,,도소매,수산물,해도동,경상북도 포항시 남구 중앙로 67번길 7(해도동),36.018798,129.368561,2019-08-07
대해물회,,음숙,횟집,해도동,"경상북도 포항시 남구 중앙로 67번길 7, 5-8호 (해도동)",36.018798,129.368561,2019-08-07
소망식육점,,도소매,식육,해도동,경상북도 포항시 남구 중앙로 67번길 7(해도동),36.018798,129.368561,2019-08-07
경민수산,,도소매,수산물,해도동,"경상북도 포항시 남구 중앙로 67번길 7, 31호(해도동)",36.018798,129.368561,2019-08-07
동서식육점,054-272-3623,도소매,식육,해도동,경상북도 포항시 남구 중앙로 67번길 7 (해도동),36.018798,129.368561,2019-08-07
태후사랑,054-275-9737,소매,"화장품,잡화",해도동,"경상북도 포항시 남구 중앙로 67번길 7 (해도동, 해도동23호,25호)",36.018798,129.368561,2019-08-07
커피스토리,,음식,휴게음식,해도동,"경상북도 포항시 남구 문예로 137-21, 1층 (해도동)",36.0184343,129.368461,2019-08-07
영덕한우식육점,,도소매,식육,해도동,경상북도 포항시 남구 문예로 137-4(해도동),36.0184199,129.3691867,2019-08-07
영일만횟집,,음식점,일반한식,해도동,"경상북도 포항시 남구 문예로 137-7, 1층(해도동)",36.0184716,129.3687755,2019-08-07
꾸닥꾸닥,054-281-9289,음식점,한식,해도동,경상북도 포항시 남구 문예로 134 (해도동),36.0177206,129.3686233,2019-08-07
소망즉석두부,,제조,두부 및 유사식품 제조업,해도동,"경상북도 포항시 남구 중앙로 67번길 5, 1층(해도동)",36.0189302,129.3688683,2019-08-07
서울낙원떡집,,제조,떡,해도동,경상북도 포항시 남구 중앙로 67번길 5(해도동),36.0189302,129.3688683,2019-08-07
대해쌍방울,,소매,메리야스,해도동,경상북도 포항시 남구 중앙로 67번길 4(해도동),36.0192305,129.3689449,2019-08-07
시장국밥,054-281-1187,음식,한식,해도동,"경상북도 포항시 남구 해동로 120, 1층 103호 (해도동)",36.0300338,129.3718471,2019-08-07
크로바 한우한돈매장,,도소매,식육,해도동,경상북도 포항시 남구 중앙로 69 (해도동),36.0193061,129.3692509,2019-08-07
완도상회,,소매,"건어물,쌀,잡곡",해도동,경상북도 포항시 남구 중앙로 67번길 3-1 (해도동),36.0190315,129.3690034,2019-08-07
석이청과,,도소매,과일,해도동,경상북도 포항시 남구 문예로 127-23,36.0185871,129.3680053,2019-08-07
연자방앗간,,"제조,소매","방앗간,농축산물",해도동,경상북도 포항시 남구 문예로 137-4(해도동),36.0184199,129.3691867,2019-08-07
대해철물건재공구,,도소매,"건재, 철물, 공구",해도동,경상북도 포항시 남구 문예로 137-6 (해도동),36.0185822,129.3689774,2019-08-07
대도의류,,도소매,의류,해도동,경상북도 포항시 남구 중앙로 67번길 6-5 (해도동),36.0193598,129.3685393,2019-08-07
하이델명과,,음숙,제과점,해도동,경상북도 포항시 남구 상공로 251(해도동),36.0234447,129.373113,2019-08-07
